,lang,fontname,fontsize,body,id,type
0,en,AnotherDanger,PHJVTN,She,1,stat_block
1,en,ACaslonPro-Italic,BJKODK,"Medium fi end (daemon), neutral evil",1,stat_block
2,en,ACaslonPro-Bold,BQNTVJ,Armor Class 17,1,stat_block
3,en,ACaslonPro-Regular,PFPIWB,Hit Points 204 (24d8 + 96),1,stat_block
4,en,ACaslonPro-Regular,PFPIWB,Speed 40 ft.,1,stat_block
5,en,ACaslonPro-Bold-SC700,XEVNPQ,s Tr D ex C on i nT w is C ha,1,stat_block
6,en,ACaslonPro-Regular,PFPIWB,21 (+5) 24 (+7) 19 (+4) 22 (+6) 17 (+3) 28 (+9),1,stat_block
7,en,ACaslonPro-Regular,PFPIWB,"Saving Th rows Dex +14, Con +11, Int +13, Cha +16",1,stat_block
8,et,ACaslonPro-Regular,PFPIWB,"Skills Intimidation +16, Perception +10, Persuasion +16",1,stat_block
9,en,ACaslonPro-Regular,PFPIWB,"Damage Resistances cold, fi re, lightning, psychic",1,stat_block
10,en,ACaslonPro-Regular,PFPIWB,"Damage Immunities acid, poison; bludgeoning, piercing, and",1,stat_block
11,en,ACaslonPro-Regular,PFPIWB,slashing from nonmagical attacks,1,stat_block
12,en,ACaslonPro-Regular,PFPIWB,"Condition Immunities charmed, frightened, poisoned",1,stat_block
13,en,ACaslonPro-Regular,PFPIWB,"Senses darkvision 120 ft., truesight 60 ft., passive Perception 20",1,stat_block
14,en,ACaslonPro-Regular,PFPIWB,"Languages Abyssal, Draconic, Infernal, telepathy 120 ft.",1,stat_block
15,en,ACaslonPro-Regular,PFPIWB,"Challenge 22 (41,000 XP)",1,stat_block
16,en,ACaslonPro-Regular,PFPIWB,Infatuating Gaze. When a creature that can see She starts its turn within,1,stat_block
17,en,ACaslonPro-Regular,PFPIWB,"30 feet of her, She can force the creature to make a DC 24 Charisma saving throw if She isn't incapacitated and can see the creature. If the saving throw fails by 5 or more, the creature falls completely under her power as if under the e ff ects of the dominate monster spell, except the e ff ect lasts 24 hours. Otherwise, a creature that fails the save becomes charmed for 1 minute. A creature that succeeds on this save or ends the e ff ect on itself becomes immune to She's Infatuating Gaze for 24 hours.",1,stat_block
